,age,marital,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,gender,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
1511,35.0,Unmarried,11.0,38.0,$25 - $49,19.1,Standard,High school degree,6.0,No,5 to 15,Highly satisfied,Female,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
1512,56.0,Married,10.0,10.0,Under $25,4.7,Economy,High school degree,15.0,Yes,More than 15,Neutral,Male,2.0,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1513,64.0,Married,45.0,42.0,$25 - $49,21.3,Standard,Some college,18.0,No,More than 15,Highly satisfied,Female,4.0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
1514,50.0,Married,15.0,67.0,$50 - $74,32.5,Luxury,High school degree,6.0,No,5 to 15,Somewhat dissatisfied,Female,5.0,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1515,39.0,Unmarried,8.0,35.0,$25 - $49,17.5,Standard,Did not complete high school,16.0,No,More than 15,Highly satisfied,Male,1.0,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1516,25.0,Unmarried,0.0,95.0,$75+,48.0,Luxury,College degree,2.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
1517,30.0,Married,4.0,29.0,$25 - $49,14.5,Economy,Some college,2.0,No,Less than 5,Neutral,Female,5.0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1518,45.0,Unmarried,10.0,107.0,$75+,53.2,Luxury,Some college,19.0,No,More than 15,Highly satisfied,Male,1.0,No,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
1519,59.0,Unmarried,2.0,42.0,$25 - $49,20.200000000000003,Standard,College degree,3.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
1520,29.0,Married,2.0,35.0,$25 - $49,17.900000000000002,Standard,College degree,4.0,No,Less than 5,Somewhat dissatisfied,Female,4.0,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
1521,33.0,Unmarried,7.0,47.0,$25 - $49,23.200000000000003,Standard,Did not complete high school,12.0,No,5 to 15,Highly satisfied,Female,1.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
1522,51.0,Married,27.0,63.0,$50 - $74,31.400000000000002,Luxury,Did not complete high school,18.0,No,More than 15,Somewhat dissatisfied,Female,2.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
1523,33.0,Unmarried,0.0,41.0,$25 - $49,20.200000000000003,Standard,College degree,6.0,No,5 to 15,Somewhat dissatisfied,Female,1.0,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
1524,45.0,Married,11.0,59.0,$50 - $74,29.0,Standard,High school degree,14.0,No,5 to 15,Highly satisfied,Female,4.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1525,54.0,Unmarried,29.0,41.0,$25 - $49,20.200000000000003,Standard,High school degree,5.0,No,5 to 15,Somewhat satisfied,Female,3.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
1526,57.0,Unmarried,5.0,49.0,$25 - $49,25.400000000000002,Standard,High school degree,20.0,No,More than 15,Somewhat satisfied,Male,1.0,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1527,40.0,Unmarried,21.0,27.0,$25 - $49,13.4,Economy,Did not complete high school,3.0,No,Less than 5,Highly dissatisfied,Female,1.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
1528,24.0,Unmarried,4.0,25.0,$25 - $49,12.4,Economy,High school degree,2.0,No,Less than 5,Highly dissatisfied,Male,1.0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
1529,40.0,Married,19.0,33.0,$25 - $49,16.8,Standard,Some college,2.0,No,Less than 5,Somewhat dissatisfied,Male,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
1530,49.0,Married,11.0,52.0,$50 - $74,25.3,Standard,High school degree,8.0,No,5 to 15,Highly satisfied,Male,4.0,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
1531,33.0,Married,11.0,35.0,$25 - $49,17.3,Standard,High school degree,9.0,No,5 to 15,Somewhat satisfied,Female,3.0,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
1532,35.0,Unmarried,0.0,30.0,$25 - $49,14.600000000000001,Economy,High school degree,4.0,No,Less than 5,Highly dissatisfied,Female,1.0,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
1533,27.0,Unmarried,7.0,30.0,$25 - $49,14.100000000000001,Economy,High school degree,3.0,No,Less than 5,Somewhat dissatisfied,Male,2.0,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
1534,20.0,Married,0.0,14.0,Under $25,6.800000000000001,Economy,Some college,0.0,No,Less than 5,Highly dissatisfied,Male,5.0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No
1535,49.0,Married,23.0,125.0,$75+,59.7,Luxury,Some college,24.0,No,More than 15,Somewhat satisfied,Male,2.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1536,28.0,Unmarried,7.0,46.0,$25 - $49,24.1,Standard,College degree,4.0,No,Less than 5,Somewhat dissatisfied,Male,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1537,27.0,Married,0.0,18.0,Under $25,9.0,Economy,College degree,2.0,No,Less than 5,Highly dissatisfied,Female,4.0,Yes,No,No,No,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1538,19.0,Married,0.0,20.0,Under $25,10.0,Economy,High school degree,0.0,No,Less than 5,Neutral,Male,6.0,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
1539,36.0,Married,2.0,43.0,$25 - $49,22.900000000000002,Standard,Some college,9.0,No,5 to 15,Somewhat dissatisfied,Female,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
1540,33.0,Unmarried,3.0,30.0,$25 - $49,15.4,Standard,Some college,1.0,No,Less than 5,Somewhat dissatisfied,Female,1.0,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
1541,56.0,Married,22.0,40.0,$25 - $49,19.6,Standard,High school degree,12.0,No,5 to 15,Highly satisfied,Male,2.0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
1542,38.0,Unmarried,12.0,39.0,$25 - $49,18.900000000000002,Standard,Some college,12.0,No,5 to 15,Neutral,Male,1.0,No,Yes,Yes,No,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
1543,42.0,Married,3.0,127.0,$75+,64.10000000000001,Luxury,Did not complete high school,24.0,No,More than 15,Highly satisfied,Male,3.0,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
1544,34.0,Unmarried,13.0,44.0,$25 - $49,21.400000000000002,Standard,College degree,2.0,No,Less than 5,Highly dissatisfied,Male,1.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1545,38.0,Unmarried,0.0,40.0,$25 - $49,19.900000000000002,Standard,High school degree,5.0,No,5 to 15,Somewhat satisfied,Female,1.0,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
1546,42.0,Unmarried,20.0,66.0,$50 - $74,32.5,Luxury,Did not complete high school,18.0,No,More than 15,Neutral,Male,3.0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
1547,44.0,Unmarried,18.0,29.0,$25 - $49,14.3,Economy,Some college,6.0,No,5 to 15,Highly dissatisfied,Male,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
1548,31.0,Unmarried,7.0,28.0,$25 - $49,13.9,Economy,College degree,8.0,No,5 to 15,Highly satisfied,Male,1.0,Yes,Yes,No,No,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
1549,53.0,Unmarried,24.0,50.0,$50 - $74,26.1,Standard,Did not complete high school,16.0,No,More than 15,Highly dissatisfied,Female,1.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1550,41.0,Married,16.0,166.0,$75+,81.5,Luxury,High school degree,19.0,No,More than 15,Somewhat satisfied,Female,2.0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1551,31.0,Married,10.0,43.0,$25 - $49,22.0,Standard,High school degree,10.0,No,5 to 15,Neutral,Male,2.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
1552,47.0,Unmarried,17.0,109.0,$75+,53.900000000000006,Luxury,Some college,19.0,No,More than 15,Highly satisfied,Female,1.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
1553,34.0,Married,9.0,41.0,$25 - $49,19.900000000000002,Standard,College degree,3.0,No,Less than 5,Somewhat dissatisfied,Female,3.0,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1554,64.0,Married,16.0,27.0,$25 - $49,13.0,Economy,High school degree,29.0,Yes,More than 15,Neutral,Male,4.0,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
1555,26.0,Unmarried,1.0,28.0,$25 - $49,14.4,Economy,College degree,1.0,No,Less than 5,Highly dissatisfied,Female,4.0,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
1556,66.0,Unmarried,33.0,485.0,$75+,82.4,Luxury,High school degree,46.0,No,More than 15,Somewhat satisfied,Female,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
1557,60.0,Married,9.0,35.0,$25 - $49,17.5,Standard,Post-undergraduate degree,2.0,No,Less than 5,Somewhat dissatisfied,Male,2.0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
1558,63.0,Married,12.0,13.0,Under $25,6.4,Economy,College degree,8.0,Yes,5 to 15,Somewhat satisfied,Male,2.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
1559,39.0,Unmarried,18.0,85.0,$75+,43.0,Luxury,High school degree,13.0,No,5 to 15,Somewhat satisfied,Female,3.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
1560,36.0,Unmarried,12.0,38.0,$25 - $49,19.1,Standard,High school degree,7.0,No,5 to 15,Somewhat dissatisfied,Male,1.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
1561,38.0,Married,7.0,96.0,$75+,48.300000000000004,Luxury,College degree,12.0,No,5 to 15,Somewhat dissatisfied,Female,2.0,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
1562,45.0,Married,13.0,43.0,$25 - $49,21.400000000000002,Standard,Did not complete high school,14.0,No,5 to 15,Somewhat dissatisfied,Female,2.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
1563,50.0,Unmarried,4.0,183.0,$75+,90.10000000000001,Luxury,College degree,22.0,No,More than 15,Highly satisfied,Female,1.0,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
1564,34.0,Married,13.0,41.0,$25 - $49,21.5,Standard,College degree,9.0,No,5 to 15,Somewhat dissatisfied,Female,2.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
1565,26.0,Unmarried,5.0,20.0,Under $25,10.200000000000001,Economy,College degree,2.0,No,Less than 5,Highly dissatisfied,Female,1.0,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
1566,49.0,Married,24.0,59.0,$50 - $74,29.200000000000003,Standard,College degree,2.0,No,Less than 5,Highly dissatisfied,Female,2.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
1567,40.0,Married,12.0,49.0,$25 - $49,24.1,Standard,High school degree,1.0,No,Less than 5,Somewhat dissatisfied,Male,5.0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
1568,64.0,Married,45.0,10.0,Under $25,5.1000000000000005,Economy,College degree,19.0,Yes,More than 15,Highly dissatisfied,Male,2.0,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No
1569,52.0,Married,13.0,112.0,$75+,56.6,Luxury,Some college,2.0,No,Less than 5,Somewhat satisfied,Male,3.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
1570,33.0,Unmarried,5.0,34.0,$25 - $49,16.900000000000002,Standard,College degree,6.0,No,5 to 15,Somewhat satisfied,Male,3.0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1571,36.0,Married,4.0,55.0,$50 - $74,27.0,Standard,High school degree,6.0,No,5 to 15,Somewhat dissatisfied,Male,3.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1572,34.0,Unmarried,0.0,56.0,$50 - $74,27.900000000000002,Standard,College degree,8.0,No,5 to 15,Neutral,Male,2.0,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
1573,49.0,Married,12.0,99.0,$75+,47.300000000000004,Luxury,Post-undergraduate degree,7.0,No,5 to 15,Highly satisfied,Male,3.0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
1574,20.0,Married,0.0,22.0,Under $25,11.0,Economy,High school degree,0.0,No,Less than 5,Highly dissatisfied,Female,4.0,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
1575,56.0,Married,22.0,96.0,$75+,47.300000000000004,Luxury,College degree,20.0,No,More than 15,Somewhat satisfied,Male,2.0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
1576,47.0,Unmarried,5.0,77.0,$75+,39.2,Luxury,High school degree,10.0,No,5 to 15,Neutral,Male,1.0,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
1577,46.0,Married,21.0,90.0,$75+,44.800000000000004,Luxury,High school degree,23.0,No,More than 15,Neutral,Female,3.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1578,39.0,Married,20.0,77.0,$75+,38.2,Luxury,High school degree,14.0,No,5 to 15,Neutral,Female,2.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
1579,51.0,Married,23.0,87.0,$75+,43.1,Luxury,High school degree,28.0,No,More than 15,Highly satisfied,Female,5.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1580,46.0,Unmarried,6.0,144.0,$75+,71.7,Luxury,College degree,7.0,No,5 to 15,Somewhat dissatisfied,Male,1.0,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
1581,28.0,Unmarried,1.0,28.0,$25 - $49,13.8,Economy,Did not complete high school,6.0,No,5 to 15,Neutral,Female,1.0,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
1582,32.0,Unmarried,0.0,16.0,Under $25,8.0,Economy,Did not complete high school,4.0,No,Less than 5,Highly dissatisfied,Male,1.0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
1583,63.0,Unmarried,13.0,31.0,$25 - $49,15.5,Standard,College degree,31.0,Yes,More than 15,Highly satisfied,Male,1.0,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1584,45.0,Married,15.0,110.0,$75+,54.300000000000004,Luxury,Some college,11.0,No,5 to 15,Somewhat satisfied,Female,4.0,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1585,56.0,Married,26.0,201.0,$75+,77.2,Luxury,High school degree,33.0,No,More than 15,Highly satisfied,Female,2.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
1586,60.0,Unmarried,4.0,33.0,$25 - $49,16.6,Standard,Some college,14.0,No,5 to 15,Highly satisfied,Male,1.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1587,24.0,Married,1.0,18.0,Under $25,8.700000000000001,Economy,High school degree,2.0,No,Less than 5,Somewhat dissatisfied,Male,5.0,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
1588,55.0,Unmarried,0.0,101.0,$75+,48.5,Luxury,Some college,16.0,No,More than 15,Highly satisfied,Female,1.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1589,52.0,Married,17.0,42.0,$25 - $49,20.700000000000003,Standard,Some college,7.0,No,5 to 15,Somewhat dissatisfied,Male,2.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1590,51.0,Unmarried,29.0,125.0,$75+,62.1,Luxury,High school degree,25.0,No,More than 15,Somewhat dissatisfied,Female,1.0,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
1591,62.0,Married,28.0,20.0,Under $25,10.5,Economy,Some college,5.0,Yes,5 to 15,Somewhat dissatisfied,Female,3.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1592,33.0,Married,12.0,23.0,Under $25,11.600000000000001,Economy,High school degree,8.0,No,5 to 15,Somewhat dissatisfied,Female,5.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
1593,40.0,Married,0.0,87.0,$75+,43.5,Luxury,Some college,13.0,No,5 to 15,Highly satisfied,Male,5.0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
1594,68.0,Unmarried,22.0,61.0,$50 - $74,30.900000000000002,Luxury,High school degree,24.0,No,More than 15,Neutral,Female,1.0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1595,30.0,Married,0.0,48.0,$25 - $49,24.400000000000002,Standard,High school degree,10.0,No,5 to 15,Somewhat satisfied,Female,4.0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
1596,35.0,Married,2.0,36.0,$25 - $49,17.8,Standard,College degree,3.0,No,Less than 5,Somewhat dissatisfied,Female,4.0,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
1597,56.0,Unmarried,16.0,170.0,$75+,84.4,Luxury,Post-undergraduate degree,22.0,No,More than 15,Highly satisfied,Male,1.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
1598,27.0,Unmarried,3.0,53.0,$50 - $74,26.3,Standard,College degree,1.0,No,Less than 5,Highly dissatisfied,Male,1.0,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1599,45.0,Unmarried,22.0,37.0,$25 - $49,18.2,Standard,College degree,9.0,No,5 to 15,Somewhat dissatisfied,Male,1.0,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1600,57.0,Married,4.0,111.0,$75+,56.7,Luxury,Did not complete high school,24.0,No,More than 15,Neutral,Male,3.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1601,29.0,Unmarried,1.0,17.0,Under $25,8.4,Economy,High school degree,0.0,No,Less than 5,Highly dissatisfied,Female,5.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1602,62.0,Unmarried,32.0,96.0,$75+,48.300000000000004,Luxury,Some college,22.0,No,More than 15,Neutral,Male,1.0,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1603,61.0,Unmarried,14.0,179.0,$75+,90.0,Luxury,Did not complete high school,41.0,No,More than 15,Highly satisfied,Male,1.0,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1604,34.0,Unmarried,4.0,17.0,Under $25,8.5,Economy,High school degree,0.0,No,Less than 5,Neutral,Female,1.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
1605,45.0,Unmarried,3.0,35.0,$25 - $49,17.6,Standard,High school degree,9.0,No,5 to 15,Somewhat satisfied,Female,1.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1606,47.0,Unmarried,16.0,28.0,$25 - $49,13.9,Economy,High school degree,5.0,No,5 to 15,Somewhat satisfied,Female,1.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1607,47.0,Married,15.0,47.0,$25 - $49,23.6,Standard,Some college,18.0,No,More than 15,Highly satisfied,Female,2.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
1608,39.0,Married,8.0,61.0,$50 - $74,30.200000000000003,Luxury,College degree,1.0,No,Less than 5,Highly dissatisfied,Female,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1609,46.0,Married,20.0,54.0,$50 - $74,27.200000000000003,Standard,High school degree,3.0,No,Less than 5,Neutral,Male,2.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
1610,46.0,Unmarried,6.0,90.0,$75+,45.6,Luxury,College degree,16.0,No,More than 15,Highly satisfied,Female,1.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1611,32.0,Married,1.0,33.0,$25 - $49,16.1,Standard,High school degree,13.0,No,5 to 15,Somewhat satisfied,Female,2.0,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
1612,51.0,Married,25.0,35.0,$25 - $49,17.1,Standard,Some college,8.0,No,5 to 15,Somewhat dissatisfied,Female,5.0,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
1613,54.0,Married,35.0,140.0,$75+,69.8,Luxury,High school degree,31.0,No,More than 15,Highly satisfied,Female,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1614,25.0,Unmarried,2.0,59.0,$50 - $74,30.0,Luxury,Some college,0.0,No,Less than 5,Highly dissatisfied,Male,3.0,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1615,55.0,Unmarried,11.0,96.0,$75+,47.900000000000006,Luxury,High school degree,22.0,No,More than 15,Somewhat satisfied,Female,1.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1616,47.0,Unmarried,4.0,52.0,$50 - $74,27.0,Standard,College degree,2.0,No,Less than 5,Highly dissatisfied,Female,1.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
1617,49.0,Unmarried,22.0,84.0,$75+,41.7,Luxury,High school degree,17.0,No,More than 15,Somewhat dissatisfied,Female,1.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1618,37.0,Married,2.0,38.0,$25 - $49,18.6,Standard,High school degree,9.0,No,5 to 15,Highly satisfied,Female,4.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1619,51.0,Unmarried,10.0,25.0,$25 - $49,12.9,Economy,Did not complete high school,10.0,No,5 to 15,Somewhat satisfied,Male,1.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
1620,66.0,Unmarried,29.0,22.0,Under $25,11.200000000000001,Economy,Did not complete high school,4.0,No,Less than 5,Neutral,Female,1.0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
1621,24.0,Married,0.0,34.0,$25 - $49,17.0,Standard,College degree,0.0,No,Less than 5,Neutral,Female,3.0,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
1622,50.0,Unmarried,0.0,87.0,$75+,43.2,Luxury,College degree,19.0,No,More than 15,Neutral,Female,1.0,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1623,39.0,Married,4.0,64.0,$50 - $74,31.900000000000002,Luxury,High school degree,20.0,No,More than 15,Highly satisfied,Male,2.0,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
1624,29.0,Unmarried,10.0,30.0,$25 - $49,14.9,Economy,College degree,6.0,No,5 to 15,Neutral,Male,1.0,Yes,No,No,Yes,,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1625,53.0,Married,1.0,148.0,$75+,73.8,Luxury,High school degree,24.0,No,More than 15,Somewhat dissatisfied,Female,4.0,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1626,27.0,Married,3.0,43.0,$25 - $49,21.3,Standard,High school degree,5.0,No,5 to 15,Somewhat dissatisfied,Female,2.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
1627,31.0,Unmarried,0.0,34.0,$25 - $49,17.400000000000002,Standard,High school degree,6.0,No,5 to 15,Highly dissatisfied,Male,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
1628,37.0,Married,4.0,41.0,$25 - $49,20.700000000000003,Standard,Post-undergraduate degree,4.0,No,Less than 5,Highly dissatisfied,Female,2.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
1629,49.0,Married,28.0,101.0,$75+,49.2,Luxury,Did not complete high school,22.0,No,More than 15,Neutral,Male,2.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
1630,45.0,Unmarried,19.0,67.0,$50 - $74,33.800000000000004,Luxury,High school degree,16.0,No,More than 15,Somewhat satisfied,Female,1.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
1631,39.0,Married,3.0,24.0,Under $25,11.9,Economy,Did not complete high school,5.0,No,5 to 15,Somewhat dissatisfied,Female,6.0,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
1632,52.0,Unmarried,24.0,45.0,$25 - $49,23.700000000000003,Standard,Did not complete high school,11.0,No,5 to 15,Somewhat satisfied,Female,1.0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
1633,33.0,Unmarried,4.0,44.0,$25 - $49,22.1,Standard,College degree,6.0,No,5 to 15,Neutral,Female,1.0,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
